state,year,quarter,transaction_type,count,amount,avg_transaction_value,year_quarter,transaction_category
Jammu & Kashmir,2024,1,Merchant payments,44039688,26132817115.0,593.3924217401359,2024-Q1,merchant payments
Jammu & Kashmir,2024,1,Peer-to-peer payments,21676857,63494530507.0,2929.139150892586,2024-Q1,peer-to-peer payments
Jammu & Kashmir,2024,1,Recharge & bill payments,9191925,4183099352.0,455.0841474446321,2024-Q1,recharge & bill payments
Jammu & Kashmir,2024,1,Financial Services,36970,77808277.0,2104.632864484717,2024-Q1,financial services
Jammu & Kashmir,2024,1,Others,170915,72673690.0,425.2036977444929,2024-Q1,others
Jammu & Kashmir,2024,4,Merchant payments,77746893,45801663532.0,589.1124617931678,2024-Q4,merchant payments
Jammu & Kashmir,2024,4,Peer-to-peer payments,37314662,109794685213.0,2942.4006363235985,2024-Q4,peer-to-peer payments
Jammu & Kashmir,2024,4,Recharge & bill payments,10916802,5152602988.0,471.9883156257666,2024-Q4,recharge & bill payments
Jammu & Kashmir,2024,4,Financial Services,180612,129044033.0,714.4820554558944,2024-Q4,financial services
Jammu & Kashmir,2024,4,Others,102248,72984966.0,713.8033604569282,2024-Q4,others
Jammu & Kashmir,2024,2,Merchant payments,67028884,36427331951.0,543.4572348093994,2024-Q2,merchant payments
Jammu & Kashmir,2024,2,Peer-to-peer payments,30553524,87708294314.0,2870.64412975734,2024-Q2,peer-to-peer payments
Jammu & Kashmir,2024,2,Recharge & bill payments,10377382,4725535622.0,455.36876468458036,2024-Q2,recharge & bill payments
Jammu & Kashmir,2024,2,Financial Services,51851,118499860.0,2285.3919885826695,2024-Q2,financial services
Jammu & Kashmir,2024,2,Others,167373,82095164.0,490.492277726993,2024-Q2,others
Jammu & Kashmir,2024,3,Merchant payments,72762518,40065179721.0,550.6293737800553,2024-Q3,merchant payments
Jammu & Kashmir,2024,3,Peer-to-peer payments,35411991,98957280136.0,2794.456830625536,2024-Q3,peer-to-peer payments
Jammu & Kashmir,2024,3,Recharge & bill payments,11191575,5221833445.0,466.5861100872755,2024-Q3,recharge & bill payments
Jammu & Kashmir,2024,3,Financial Services,62311,146900251.0,2357.5331963858707,2024-Q3,financial services
Jammu & Kashmir,2024,3,Others,126893,79152424.0,623.7729740805246,2024-Q3,others
Jammu & Kashmir,2022,1,Peer-to-peer payments,6263588,25881919928.642838,4132.123621260344,2022-Q1,peer-to-peer payments
Jammu & Kashmir,2022,1,Merchant payments,5769426,5903944370.148529,1023.3157284881596,2022-Q1,merchant payments
Jammu & Kashmir,2022,1,Recharge & bill payments,4046350,1253753685.6124904,309.8480570421467,2022-Q1,recharge & bill payments
Jammu & Kashmir,2022,1,Financial Services,20506,28915576.119299565,1410.103195128234,2022-Q1,financial services
Jammu & Kashmir,2022,1,Others,145441,79330065.6359112,545.4449958121245,2022-Q1,others
Jammu & Kashmir,2022,4,Merchant payments,13060020,9463119176.828749,724.586882472519,2022-Q4,merchant payments
Jammu & Kashmir,2022,4,Peer-to-peer payments,9209773,33017162449.59025,3585.013707676644,2022-Q4,peer-to-peer payments
Jammu & Kashmir,2022,4,Recharge & bill payments,4885856,1738113554.2451303,355.74391759501924,2022-Q4,recharge & bill payments
Jammu & Kashmir,2022,4,Financial Services,17803,26804683.92881795,1505.6273621759226,2022-Q4,financial services
Jammu & Kashmir,2022,4,Others,142706,70096050.90090424,491.1920374819856,2022-Q4,others
Jammu & Kashmir,2022,2,Merchant payments,9917899,8541811640.294408,861.2521301431289,2022-Q2,merchant payments
Jammu & Kashmir,2022,2,Peer-to-peer payments,8948548,35973490940.6326,4020.036651826933,2022-Q2,peer-to-peer payments
Jammu & Kashmir,2022,2,Recharge & bill payments,4759941,1631580783.9159238,342.773320912155,2022-Q2,recharge & bill payments
Jammu & Kashmir,2022,2,Financial Services,17495,23857762.100494668,1363.6903172617701,2022-Q2,financial services
Jammu & Kashmir,2022,2,Others,169864,83549709.69216739,491.8623704385119,2022-Q2,others
Jammu & Kashmir,2022,3,Merchant payments,9594459,8056512904.560925,839.704761317019,2022-Q3,merchant payments
Jammu & Kashmir,2022,3,Peer-to-peer payments,8391981,31280124357.943665,3727.3826475469455,2022-Q3,peer-to-peer payments
Jammu & Kashmir,2022,3,Recharge & bill payments,4397779,1538833023.8071973,349.9114038716355,2022-Q3,recharge & bill payments
Jammu & Kashmir,2022,3,Financial Services,16502,21281997.61037215,1289.6617143602077,2022-Q3,financial services
Jammu & Kashmir,2022,3,Others,133673,66802218.32606816,499.74354077538595,2022-Q3,others
Jammu & Kashmir,2023,1,Merchant payments,19258641,12262102502.0,636.7065309540793,2023-Q1,merchant payments
Jammu & Kashmir,2023,1,Peer-to-peer payments,12527159,41006666634.0,3273.4211032206103,2023-Q1,peer-to-peer payments
Jammu & Kashmir,2023,1,Recharge & bill payments,6894943,2522356131.0,365.8269736240024,2023-Q1,recharge & bill payments
Jammu & Kashmir,2023,1,Financial Services,26119,30772190.0,1178.1534515103947,2023-Q1,financial services
Jammu & Kashmir,2023,1,Others,220382,99850124.0,453.07749271719103,2023-Q1,others
Jammu & Kashmir,2023,4,Merchant payments,38724913,23286334977.0,601.3269797920527,2023-Q4,merchant payments
Jammu & Kashmir,2023,4,Peer-to-peer payments,20930306,65658312220.0,3136.9972431363403,2023-Q4,peer-to-peer payments
Jammu & Kashmir,2023,4,Recharge & bill payments,9268356,3954471487.0,426.6637456524113,2023-Q4,recharge & bill payments
Jammu & Kashmir,2023,4,Financial Services,36281,80127905.0,2208.536286210413,2023-Q4,financial services
Jammu & Kashmir,2023,4,Others,207276,90895171.0,438.5224097338814,2023-Q4,others
Jammu & Kashmir,2023,2,Merchant payments,27968919,16519042612.0,590.6214184395185,2023-Q2,merchant payments
Jammu & Kashmir,2023,2,Peer-to-peer payments,17988275,56687068768.0,3151.334342398034,2023-Q2,peer-to-peer payments
Jammu & Kashmir,2023,2,Recharge & bill payments,8374394,3181150839.0,379.8663926010646,2023-Q2,recharge & bill payments
Jammu & Kashmir,2023,2,Financial Services,27724,36616737.0,1320.759522435435,2023-Q2,financial services
Jammu & Kashmir,2023,2,Others,228987,106126424.0,463.4604759222139,2023-Q2,others
Jammu & Kashmir,2023,3,Merchant payments,33831979,20030764520.0,592.0660012232805,2023-Q3,merchant payments
Jammu & Kashmir,2023,3,Peer-to-peer payments,20589029,62320529579.0,3026.880460414136,2023-Q3,peer-to-peer payments
Jammu & Kashmir,2023,3,Recharge & bill payments,9247909,3508619105.0,379.39593750327776,2023-Q3,recharge & bill payments
